elapsed_S,supply_V,current_A,BMF_resistance
1.573249938000117254e+00,4.730300292968750320e+00,9.430615234375000488e-02,5.015897876658779353e+01
1.607241738000084297e+00,4.729360351562499787e+00,9.267236328125000311e-02,5.103312556311349368e+01
1.641140614000505593e+00,4.728801269531249574e+00,9.580078124999999445e-02,4.936077981651376234e+01
1.675259743000424351e+00,4.729650878906250355e+00,9.257617187500000178e-02,5.108928985843583348e+01
1.709346373000698804e+00,4.728344726562499822e+00,9.330957031250000644e-02,5.067373808203120689e+01
1.743351191000328981e+00,4.732727050781250000e+00,9.131884765624999345e-02,5.182639917442426736e+01
1.777386619000026258e+00,4.727863769531250426e+00,9.721582031250000644e-02,4.863265828888286535e+01
1.811304661000576743e+00,4.730268554687500071e+00,9.634912109375000366e-02,4.909508774952742272e+01
1.845368736000637000e+00,4.727487792968750213e+00,9.283691406249999778e-02,5.092250039446694387e+01
1.879341128000305616e+00,4.729172363281249680e+00,9.851269531249999545e-02,4.800571488049803293e+01
1.913301243000205432e+00,4.729409179687499964e+00,9.576416015625000000e-02,4.938600382409178025e+01
1.947290117000193277e+00,4.728791503906250249e+00,9.675927734375000533e-02,4.887171167170460961e+01
1.981301471000733727e+00,4.729711914062500355e+00,9.546679687499999567e-02,4.954300415311279693e+01
2.015322936000302434e+00,4.727778320312499893e+00,9.538281249999999711e-02,4.956635473830780825e+01
2.049502694000693737e+00,4.728562011718749680e+00,9.331884765624999523e-02,5.067102874155622061e+01
2.083574528000099235e+00,4.729040527343750355e+00,9.304248046874999400e-02,5.082668157081307214e+01
2.117587142000047606e+00,4.731093750000000320e+00,9.357373046875000488e-02,5.056006345263751456e+01
2.151816787000825570e+00,4.730939941406250071e+00,9.622363281250000122e-02,4.916609156323261942e+01
2.185980954000115162e+00,4.737260742187499929e+00,9.889599609374999378e-02,4.790144120391628491e+01
2.220900545000404236e+00,4.728820800781250000e+00,9.522705078125000278e-02,4.965837713113702989e+01
2.254951529000209121e+00,4.729492187500000000e+00,9.701074218749999867e-02,4.875225238828657837e+01
2.288916200000130630e+00,4.728417968749999645e+00,9.424218750000000477e-02,5.017304982176904105e+01
2.322863334999965446e+00,4.729943847656249645e+00,9.438916015624999878e-02,5.011109156842154277e+01
2.356953430000430671e+00,4.729226074218749964e+00,9.536376953125000333e-02,4.959143391106218246e+01
2.390948934000334702e+00,4.727932128906250142e+00,9.666699218749999489e-02,4.890947801226423763e+01
2.424939068000639963e+00,4.732236328125000391e+00,9.525976562500000633e-02,4.967717794681483667e+01
2.458914035000816511e+00,4.727912597656249716e+00,9.610351562499999667e-02,4.919604206889543718e+01
2.492795783000474330e+00,4.731289062500000142e+00,9.534130859374999323e-02,4.962475481283834000e+01
2.526931580000564281e+00,4.729621582031249716e+00,9.534716796874999345e-02,4.960421670396525684e+01
2.560930917000405316e+00,4.728088378906250000e+00,9.316308593750000089e-02,5.075066300485330117e+01
2.594867590000831115e+00,4.729365234374999893e+00,9.754052734375000255e-02,4.848615609497254297e+01
2.628844798000500305e+00,4.729848632812499787e+00,9.486669921875000300e-02,4.985783917606427451e+01
2.662941818000035710e+00,4.727580566406249574e+00,9.342578125000000622e-02,5.060252644562444146e+01
2.696926674000678759e+00,4.731525878906250426e+00,9.664746093749999878e-02,4.895654612143442108e+01
2.730893994000325620e+00,4.728327636718749893e+00,9.423974609374999312e-02,5.017339108718517338e+01
2.764851017000182765e+00,4.728967285156249645e+00,9.351318359374999334e-02,5.057005978643970678e+01
2.798854872999982035e+00,4.729003906250000000e+00,9.340869140624999400e-02,5.062702233652725425e+01
2.832766342000468285e+00,4.727663574218749609e+00,9.661669921875000455e-02,4.893215781999382585e+01
2.866758106000816042e+00,4.731682128906250284e+00,9.617578124999999478e-02,4.919827078510215301e+01
2.900752740000825725e+00,4.728708496093750213e+00,9.394042968749999334e-02,5.033730963147772997e+01
2.934747281000454677e+00,4.728837890624999929e+00,9.238525390625000611e-02,5.118606802145820467e+01
2.968739840000125696e+00,4.731958007812499645e+00,9.271435546874999545e-02,5.103802948193322919e+01
