elapsed_S,supply_V,current_A,BMF_resistance
0.000000000000000000e+00,1.708984375000000163e-05,-2.209960937499999903e-03,-7.733097657976139259e-03
3.532946799987257691e-02,7.324218749999999729e-06,-1.581054687499999995e-03,-4.632489190858554706e-03
6.987499699971522205e-02,4.882812500000000102e-06,-3.050292968749999944e-03,-1.600768368817032279e-03
1.039283190002606716e-01,2.441406250000000051e-06,-1.126464843749999971e-03,-2.167316861725184125e-03
1.378658860003270092e-01,1.953125000000000041e-05,-2.763671875000000069e-03,-7.067137809187279060e-03
1.717188439997698879e-01,2.929687499999999892e-05,-1.635742187500000098e-04,-1.791044776119402882e-01
2.059846590000233846e-01,9.765625000000000203e-06,-1.986328124999999813e-03,-4.916420845624385957e-03
2.400194450001436053e-01,1.220703125000000068e-05,-4.555175781250000305e-03,-2.679815628684746511e-03
2.748953350001102081e-01,1.953125000000000041e-05,-2.079101562500000003e-03,-9.394081728511038260e-03
3.092366660002880963e-01,3.906250000000000081e-05,-9.638671874999999887e-04,-4.052684903748733636e-02
3.437956580000900431e-01,0.000000000000000000e+00,-6.469726562499999783e-04,-0.000000000000000000e+00
3.783836860002338653e-01,1.708984375000000163e-05,-1.352539062500000009e-03,-1.263537906137184204e-02
4.125405610002417234e-01,7.324218749999999729e-06,-2.349121093749999972e-03,-3.117854915817917360e-03
4.464329250004084315e-01,1.464843749999999946e-05,-2.734374999999999827e-03,-5.357142857142857192e-03
4.803994169997167774e-01,5.126953124999999810e-05,6.367187500000000234e-04,8.052147239263802991e-02
5.143962399997690227e-01,1.220703125000000068e-05,-9.848632812499999532e-04,-1.239464551313832624e-02
5.481346280002981075e-01,1.708984375000000163e-05,-1.685058593750000033e-03,-1.014198782961460606e-02
5.821769129997846903e-01,7.324218749999999729e-06,-2.648437500000000184e-03,-2.765486725663716342e-03
6.161662559998148936e-01,9.765625000000000203e-06,-3.210449218750000087e-03,-3.041825095057034030e-03
6.500179920003574807e-01,4.882812500000000102e-06,-1.417480468750000012e-03,-3.444712366517395808e-03
6.843392509999830509e-01,4.882812500000000102e-06,-1.942382812500000099e-03,-2.513826043237807686e-03
7.188029330000063055e-01,1.220703125000000068e-05,2.744140625000000269e-04,4.448398576512455072e-02
7.532046719998106710e-01,0.000000000000000000e+00,-4.458496093750000111e-03,-0.000000000000000000e+00
7.870664459996987716e-01,1.220703125000000068e-05,-3.456054687500000142e-03,-3.532071206555524329e-03
8.207901499999934458e-01,2.441406250000000051e-06,-1.196777343750000033e-03,-2.039983680130559064e-03
8.546006289998331340e-01,2.441406250000000051e-06,-7.133789062500000373e-04,-3.422313483915126464e-03
8.882493359997170046e-01,2.441406250000000051e-06,-1.248535156249999971e-03,-1.955416503715291451e-03
9.222418280005513225e-01,4.882812500000000102e-06,-3.300781249999999896e-03,-1.479289940828402549e-03
9.560304739998173318e-01,1.953125000000000041e-05,-3.217285156250000201e-03,-6.070723933829108750e-03
9.897753080003894866e-01,1.220703125000000068e-05,-2.011718750000000052e-03,-6.067961165048543597e-03
1.023619045000486949e+00,3.662109374999999864e-05,-3.825683593749999983e-03,-9.572431397574984388e-03
1.056893504000072426e+00,3.417968750000000325e-05,-3.360839843750000003e-03,-1.016998401859654268e-02
1.090432472999964375e+00,2.441406250000000136e-05,-1.779296875000000062e-03,-1.372118551042810115e-02
1.123868407999907504e+00,3.662109374999999864e-05,-3.877441406249999920e-03,-9.444654325651681212e-03
1.157401080999989063e+00,2.441406250000000051e-06,-3.046386718749999941e-03,-8.014104824491105139e-04
1.190811442999802239e+00,9.765625000000000203e-06,4.453125000000000160e-04,2.192982456140350755e-02
1.224679161000494787e+00,7.324218749999999729e-06,2.850097656249999875e-03,2.569813260236422908e-03
1.258598008000262780e+00,0.000000000000000000e+00,-2.412109375000000191e-03,-0.000000000000000000e+00
1.292209604000163381e+00,3.906250000000000081e-05,1.991699218749999872e-03,1.961265015935278327e-02
1.326178004000212240e+00,4.150390625000000298e-05,-5.479003906250000042e-03,-7.575082434720614016e-03
1.359703566999996838e+00,2.441406250000000051e-06,-2.526855468749999913e-03,-9.661835748792271372e-04
1.393782889000249270e+00,4.882812500000000102e-06,-3.162109374999999990e-03,-1.544163063619518163e-03
1.427583757999855152e+00,0.000000000000000000e+00,-2.277832031250000017e-03,-0.000000000000000000e+00
1.461459754000316025e+00,2.441406250000000136e-05,-1.713867187499999896e-03,-1.424501424501424703e-02
1.495787439000196173e+00,1.708984375000000163e-05,-1.091308593749999939e-03,-1.565995525727069751e-02
1.530376079999768990e+00,2.929687499999999892e-05,-1.526855468749999892e-03,-1.918771985929005469e-02
1.564862037999773747e+00,3.417968750000000325e-05,-4.604492187499999753e-04,-7.423117709437965228e-02
1.598502875000122003e+00,7.324218749999999729e-06,-2.458007812499999906e-03,-2.979737783075089245e-03
1.632351019000452652e+00,2.441406250000000136e-05,-4.263671874999999667e-03,-5.726065048098947369e-03
1.665903803000219341e+00,7.324218749999999729e-06,4.394531249999999668e-06,1.666666666666666741e+00
1.699645581999902788e+00,1.953125000000000041e-05,-5.654296874999999601e-04,-3.454231433506044918e-02
1.733512339000299107e+00,0.000000000000000000e+00,-2.731933593749999879e-03,-0.000000000000000000e+00
1.767439334999835410e+00,7.324218749999999729e-06,-4.420410156250000402e-03,-1.656909311830332202e-03
1.800878771000498091e+00,3.906250000000000081e-05,-8.710937500000000147e-04,-4.484304932735425769e-02
1.834678993000125047e+00,7.324218749999999729e-06,-4.123535156250000139e-03,-1.776198934280639281e-03
1.868239852000442625e+00,7.324218749999999729e-06,-6.958007812500000217e-04,-1.052631578947368397e-02
1.902324491000399576e+00,3.662109374999999864e-05,-1.318359375000000087e-04,-2.777777777777777346e-01
1.936184766000224045e+00,9.765625000000000203e-06,-2.438476562499999889e-03,-4.004805766920304343e-03
1.970098188000520167e+00,7.324218749999999729e-06,-2.656250000000000191e-03,-2.757352941176470333e-03
2.003420240000195918e+00,3.417968750000000325e-05,-3.079589843750000187e-03,-1.109877913429522731e-02
2.037112650000381109e+00,1.953125000000000041e-05,-2.638671874999999958e-03,-7.401924500370096749e-03
2.070606659000077343e+00,0.000000000000000000e+00,-4.306640625000000030e-04,-0.000000000000000000e+00
2.104120537999733642e+00,0.000000000000000000e+00,-3.757324218750000139e-03,-0.000000000000000000e+00
2.137667286000578315e+00,2.441406250000000136e-05,-2.187988281249999938e-03,-1.115822361080116149e-02
2.171267329000329482e+00,9.765625000000000203e-06,-3.447265624999999809e-04,-2.832861189801699764e-02
2.204930925000553543e+00,0.000000000000000000e+00,-4.597167968749999584e-03,-0.000000000000000000e+00
2.238465469999937341e+00,0.000000000000000000e+00,-5.208984374999999639e-03,-0.000000000000000000e+00
2.272182452999913949e+00,2.441406250000000051e-06,-3.244140625000000062e-03,-7.525586995785671276e-04
2.305547687999933260e+00,2.441406250000000051e-06,-6.396484375000000260e-05,-3.816793893129771104e-02
2.339431019000585366e+00,0.000000000000000000e+00,-3.993652343750000132e-03,-0.000000000000000000e+00
2.372960304000116594e+00,2.441406250000000051e-06,-4.604980468749999591e-03,-5.301664722722935303e-04
2.406610789999831468e+00,9.765625000000000203e-06,2.343750000000000049e-05,4.166666666666666852e-01
2.440077948000180186e+00,1.464843749999999946e-05,-1.732910156249999967e-03,-8.453085376162298298e-03
2.473851855999782856e+00,2.441406250000000051e-06,-1.885742187500000049e-03,-1.294665976178146095e-03
2.507283459000063885e+00,7.324218749999999729e-06,-2.056640624999999875e-03,-3.561253561253561323e-03
2.541085347999796795e+00,2.441406250000000051e-06,-2.165527343749999809e-03,-1.127395715896279760e-03
2.574764924999726645e+00,2.441406250000000051e-06,-3.416503906249999944e-03,-7.145919679862798796e-04
2.608497686000191607e+00,0.000000000000000000e+00,-3.483398437500000167e-03,-0.000000000000000000e+00
2.642037397000422061e+00,1.220703125000000068e-05,-1.005859374999999945e-04,-1.213592233009708893e-01
2.675607182000021567e+00,3.906250000000000081e-05,-2.448730468749999844e-03,-1.595214356929212582e-02
2.710235620999810635e+00,1.953125000000000041e-05,5.498046874999999462e-04,3.552397868561279343e-02
2.745151013999930001e+00,2.441406250000000051e-06,2.587890625000000130e-04,9.433962264150943036e-03
2.779334873000152584e+00,0.000000000000000000e+00,-2.729492187500000256e-04,-0.000000000000000000e+00
2.813484530000096129e+00,1.220703125000000068e-05,-1.942871093750000045e-03,-6.282985674792661464e-03
2.847078888999931223e+00,2.441406250000000051e-06,-4.150878906249999729e-03,-5.881660981061052635e-04
2.880564844000218727e+00,7.324218749999999729e-06,-6.464843750000000321e-04,-1.132930513595166097e-02
2.914247868000529706e+00,1.220703125000000068e-05,-1.963867187500000118e-03,-6.215813028344107163e-03
2.947985315000551054e+00,1.464843749999999946e-05,-4.434082031249999764e-03,-3.303600925008259078e-03
2.981554304999917804e+00,2.441406250000000051e-06,-2.393066406249999903e-03,-1.020199959192001713e-03
3.015044851999846287e+00,1.220703125000000068e-05,-1.377929687500000031e-03,-8.858965272856129947e-03
3.048521214999709628e+00,4.150390625000000298e-05,-4.858398437499999978e-04,-8.542713567839196886e-02
3.082275773000219488e+00,1.708984375000000163e-05,-3.943359375000000250e-03,-4.333828628033680255e-03
3.115802338000321470e+00,1.220703125000000068e-05,-3.696289062500000139e-03,-3.302509907529722726e-03
3.149258053000266955e+00,4.882812500000000102e-06,-1.951171874999999998e-03,-2.502502502502502481e-03
3.182937206000133301e+00,2.441406250000000051e-06,-1.306152343749999913e-03,-1.869158878504672975e-03
3.216901220000181638e+00,0.000000000000000000e+00,-2.578125000000000121e-03,-0.000000000000000000e+00
3.250689313999828300e+00,0.000000000000000000e+00,-5.278320312499999809e-04,-0.000000000000000000e+00
3.284462315999917337e+00,1.220703125000000068e-05,-1.924804687500000083e-03,-6.341958396752916949e-03
3.318718563000402355e+00,0.000000000000000000e+00,-1.549804687499999967e-03,-0.000000000000000000e+00
3.352807129000211717e+00,4.882812500000000102e-06,-1.030761718750000102e-03,-4.737091425864518694e-03
3.386688553000567481e+00,0.000000000000000000e+00,-5.952148437500000408e-04,-0.000000000000000000e+00
3.420279912999831140e+00,2.929687499999999892e-05,-2.097656250000000128e-03,-1.396648044692737345e-02
3.453695295999750670e+00,9.765625000000000203e-06,-2.957519531250000187e-03,-3.301964668978041913e-03
3.487320784000075946e+00,2.929687499999999892e-05,-1.460449218750000050e-03,-2.006018054162487380e-02
3.521096045000376762e+00,0.000000000000000000e+00,-1.760253906249999991e-03,-0.000000000000000000e+00
3.554803586000161886e+00,2.197265624999999919e-05,-4.623535156249999716e-03,-4.752349772943288697e-03
3.588256116000593465e+00,4.882812500000000102e-06,-2.366210937500000042e-03,-2.063557573256293715e-03
3.621800531999724626e+00,9.765625000000000203e-06,-2.520019531249999799e-03,-3.875217981011432489e-03
3.655474889000288385e+00,1.464843749999999946e-05,-1.545898437499999964e-03,-9.475679090334806348e-03
3.688905347000400070e+00,2.441406250000000051e-06,-3.652343750000000208e-03,-6.684491978609625280e-04
3.722961008000311267e+00,1.464843749999999946e-05,-3.207519531249999976e-03,-4.566905160602830957e-03
3.756791249999878346e+00,0.000000000000000000e+00,-2.448242187500000114e-03,-0.000000000000000000e+00
3.790413314000034006e+00,7.324218749999999729e-06,-2.165527343749999809e-03,-3.382187147688839064e-03
3.824056561999896076e+00,7.324218749999999729e-06,-3.776855468750000156e-03,-1.939237233354880246e-03
3.857464075999814668e+00,1.708984375000000163e-05,-4.857910156249999924e-03,-3.517941501658458387e-03
3.891102749999845400e+00,1.464843749999999946e-05,-7.104492187500000347e-04,-2.061855670103092744e-02
3.925197892000142019e+00,4.882812500000000102e-06,-3.676757812500000013e-04,-1.328021248339973474e-02
3.959155129999999190e+00,9.765625000000000203e-06,-4.162597656250000173e-03,-2.346041055718475071e-03
3.992919985999833443e+00,2.197265624999999919e-05,-4.287109375000000013e-04,-5.125284738041002014e-02
4.027169289000084973e+00,1.220703125000000068e-05,-3.585449218749999986e-03,-3.404603023287484757e-03
4.060607784000239917e+00,9.765625000000000203e-06,2.172851562500000033e-04,4.494382022471909988e-02
4.094292402000064612e+00,1.953125000000000041e-05,-2.416503906249999924e-03,-8.082440897150940107e-03
4.127734988999691268e+00,2.441406250000000051e-06,-4.014648437499999771e-03,-6.081245439065921087e-04
4.161517122000077507e+00,2.929687499999999892e-05,-5.318359374999999736e-03,-5.508630187293426031e-03
4.195268958999804454e+00,2.197265624999999919e-05,-2.382812499999999948e-03,-9.221311475409835895e-03
4.229142680999757431e+00,4.882812500000000102e-06,-3.296874999999999892e-03,-1.481042654028436132e-03
4.262693173000116076e+00,1.953125000000000041e-05,-3.165527343749999830e-03,-6.169983032546661091e-03
4.296608487000412424e+00,2.929687499999999892e-05,-3.215820312500000146e-03,-9.110233829334951974e-03
4.330337158000475029e+00,1.953125000000000041e-05,-1.911621093750000017e-03,-1.021711366538952809e-02
4.363783227000567422e+00,2.197265624999999919e-05,1.212402343750000047e-03,1.812323801852597574e-02
4.397740002000318782e+00,2.197265624999999919e-05,-3.345703125000000153e-03,-6.567425569176881840e-03
4.431245624999974098e+00,1.953125000000000041e-05,-4.131347656250000146e-03,-4.727573572863727480e-03
4.464907927999774984e+00,9.765625000000000203e-06,-1.667968749999999964e-03,-5.854800936768150312e-03
4.498157613999865134e+00,3.417968750000000325e-05,-1.305175781250000021e-03,-2.618780396558174559e-02
4.531893080999907397e+00,4.882812500000000102e-06,-2.079589843750000167e-03,-2.347969006809109797e-03
4.565693806000126642e+00,7.324218749999999729e-06,-2.242187499999999823e-03,-3.266550522648083675e-03
4.599312461999943480e+00,9.765625000000000203e-06,-2.380859375000000163e-03,-4.101722723543888352e-03
4.632878137999796309e+00,9.765625000000000203e-06,-1.458984374999999995e-03,-6.693440428380187379e-03
4.666479555000478285e+00,2.441406250000000051e-06,-3.310546875000000121e-03,-7.374631268436578069e-04
4.699777943999833951e+00,3.173828125000000108e-05,-1.114746093749999960e-03,-2.847130968024529432e-02
4.733824107000145887e+00,2.441406250000000136e-05,-4.370117187499999653e-03,-5.586592178770950767e-03
4.767664406000221788e+00,0.000000000000000000e+00,5.073242187499999627e-04,0.000000000000000000e+00
4.801165511999897717e+00,0.000000000000000000e+00,-3.754394531250000028e-03,-0.000000000000000000e+00
4.834794817999863881e+00,7.324218749999999729e-06,-1.114257812500000014e-03,-6.573181419807186399e-03
4.868154816000242135e+00,2.441406250000000136e-05,-3.203125000000000134e-04,-7.621951219512194953e-02
4.901916192000498995e+00,9.765625000000000203e-06,-2.166015624999999972e-03,-4.508566275924255976e-03
4.935533812000358012e+00,4.882812500000000271e-05,-2.988281250000000052e-03,-1.633986928104575256e-02
4.969141600000511971e+00,1.220703125000000068e-05,-3.168945312500000104e-04,-3.852080123266563710e-02
5.002608836000035808e+00,9.765625000000000203e-06,-8.735351562499999627e-04,-1.117942984907769818e-02
5.036362712000482134e+00,9.765625000000000203e-06,-4.661621093750000291e-03,-2.094898921127055693e-03
